model,level,module,module_short,problem_index,expected_answer,model_answer,answered,correct,finish_reason,input_tokens,output_tokens
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,1,4.548709019261542,4.55,True,True,end_turn,402,1188
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,2,4.887946004031309,4.9,True,False,end_turn,400,1275
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,3,10.377836942638526,10.38,True,True,end_turn,402,1347
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,4,2.4641644924084076,2.465,True,True,end_turn,395,817
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,5,5.6493565802172885,5.65,True,True,end_turn,401,1167
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,6,0.5052635015571901,0.505,True,True,end_turn,395,970
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,7,6.456905931863859,6.49,True,False,end_turn,405,1121
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,8,7.071067923326792,14.06,True,False,end_turn,405,1292
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,9,6.9893416927981535,6.99,True,True,end_turn,403,1127
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,10,3.232229393816509,3.23,True,True,end_turn,398,1252
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,11,5.4713896158365,5.47,True,True,end_turn,403,1142
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,12,5.4993712995503214,5.7,True,False,end_turn,405,1326
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,13,3.1275290028521763,3.13,True,True,end_turn,393,1142
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,14,3.401415065162398,3.81,True,False,end_turn,397,1206
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,15,0.708641913812714,0.71,True,True,end_turn,407,1054
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,16,1.2000000183156512,1.44,True,False,end_turn,400,1098
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,17,0.7142857141609549,0.71,True,True,end_turn,406,1119
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,18,3.991747179179267,3.99,True,True,end_turn,403,979
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,19,3.2586307058684336,1.01,True,False,end_turn,407,1119
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,20,1.399999992609109,1.61,True,False,end_turn,400,1091
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,21,5.152371969265797,5.3,True,False,end_turn,400,1271
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,22,4.14640395801335,4.14,True,True,end_turn,402,1154
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,23,12.277684155734296,12.28,True,True,end_turn,403,1233
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,24,6.932856366824589,6.94,True,True,end_turn,405,1092
claude-haiku-4-5-20251001,level-1,geometric__basic_geometric_programming,GP,25,5.984235914164003,6.94,True,False,end_turn,407,1431
claude-haiku-4-5-20251001,level-1,linear_programming__non_trivial_linear_programming,LP,1,-10.0,-10,True,True,end_turn,384,704
