model,level,source_file,example_index,problem_type,primary_error_type,secondary_error_types,correct,finish_reason,input_tokens,output_tokens,reasoning_formulation_score,reasoning_approach_score,reasoning_constraint_score,reasoning_hallucination,reasoning_failure_point,arithmetic_error_found,arithmetic_first_error_step,arithmetic_computed_value,arithmetic_correct_value,arithmetic_error_magnitude,arithmetic_cascaded,arithmetic_additional_independent_errors,final_correct_value_in_reasoning,final_correct_value_found,final_distance_from_expected,final_model_recognized_it,final_reason_not_recognized,final_context
Claude,level-1,Claude Results Levels 1-4/level-1/geometric__basic_geometric_programming__claude-sonnet-4-6.json,0,geometric,partial_constraint_handling_failure,partial_reasoning_failure|arithmetic_failure,False,end_turn,401,408,2,1,1,False,"Only considered a corner solution (x2 maximal, x1 maximal) without systematically exploring constraint activity or proving this is the global minimum.",True,Constraint verification: 5*x2^2 <= 11.31 when x2 = 1.504,11.31008,11.31,small (< 5%),True,0,False,,,,,
Claude,level-2,Claude Results Levels 1-4/level-2/geometric__basic_geometric_programming__claude-sonnet-4-6.json,0,geometric,partial_reasoning_failure,arithmetic_failure,False,end_turn,423,1769,2,1,2,False,Did not fully justify that the minimum is at the lower bound (smallest x2) versus elsewhere in feasible range; the global optimality argument is incomplete for x2.,True,Calculation of x1: x1 = 2 * (1.405)^(3/2) / sqrt(3),1.923,2.277,large (> 20%),True,0,False,,,,,
Claude,level-2,Claude Results Levels 1-4/level-2/geometric__basic_geometric_programming__claude-sonnet-4-6.json,1,geometric,partial_reasoning_failure,arithmetic_failure,False,end_turn,420,1378,2,1,2,False,Did not rigorously justify why the minimum must have x1=x2^(3/2) under all constraints (restricted subspace without full proof).,True,Computation of x2 = 3.7037^(2/5),1.6883,1.7746,medium (5-20%),True,0,False,,,,,
Claude,level-2,Claude Results Levels 1-4/level-2/geometric__basic_geometric_programming__claude-sonnet-4-6.json,2,geometric,partial_constraint_handling_failure,partial_reasoning_failure|arithmetic_failure,False,end_turn,421,1245,2,1,1,False,"Did not fully justify that the minimum must occur at x1*x2=lower bound, nor did it check both interval endpoints to guarantee global optimality; thus, justification is incomplete.",True,"Recomputation of f at claimed minimizer (x1 ≈ 2.1872, x2 ≈ 1.6332)",21.97,20.70,medium (5-20%),False,0,False,,,,,
Claude,level-2,Claude Results Levels 1-4/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,0,qcqp,no_correct_value_found,,False,end_turn,469,981,2,2,2,False,Minor arithmetic error in the final objective value; all reasoning steps are otherwise correct.,False,,,,,,0,False,,,,,
Claude,level-2,Claude Results Levels 1-4/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,1,qcqp,arithmetic_failure,no_correct_value_found,False,end_turn,469,6098,2,2,2,False,Numerical error in arithmetic for the final value; reasoning and logic are globally optimal for the problem as formulated.,True,Model computes constrained minimum x via parameterized λ numerators for x1 and x2.,"x1 = (7λ^2-5λ-26)/(17λ^2+131λ+26), x2 = (18λ^2+40λ+2)/(17λ^2+131λ+26)","x1 = (−9λ^2−33λ−18 + 16λ^2 + 28λ −8)/(17λ^2+131λ+26), x2 = (−2λ^2−6λ−18 + 18λ^2+46λ+20)/(17λ^2+131λ+26) (see detailed computation)",large (> 20%),True,0,False,,,,,
Claude,level-2,Claude Results Levels 1-4/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,2,qcqp,partial_constraint_handling_failure,partial_reasoning_failure|continued_refinement,,max_tokens,469,16000,2,1,1,False,KKT/active-set logic is abandoned for trial-and-error and point search without global optimality justification.,False,,,,,,0,True,-5.033,0.004,False,continued_refinement,
Claude,level-2,Claude Results Levels 1-4/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,3,qcqp,partial_reasoning_failure,continued_refinement,,max_tokens,469,16000,2,1,2,False,Did not fully prove global optimality—relied on systematic feasible sampling and local analysis rather than definitive KKT/active-set closure.,False,,,,,,0,True,-1.107,0.002,False,continued_refinement,
Claude,level-2,Claude Results Levels 1-4/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,4,qcqp,partial_constraint_handling_failure,partial_reasoning_failure|arithmetic_failure,,max_tokens,469,16000,2,1,1,False,The model never completes a full KKT or boundary-active-set analysis and relies on sampling/heuristic minimization rather than a global optimality proof.,True,Computation of x* = -Q_0^{-1} c_0 (unconstrained minimizer),"x* = [-7/3, -17/6]","x* = [-7/3, -2.5]",large (> 20%),True,0,False,,,,,
Claude,level-2,Claude Results Levels 1-4/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,5,qcqp,partial_reasoning_failure,continued_refinement,,max_tokens,469,16000,2,1,2,False,Did not fully justify or explicitly solve the boundary or KKT conditions; relied on dense sampling and boundary search rather than a formal solution proof.,False,,,,,,0,True,-2.326,0.00,False,continued_refinement,
