model,level,module,module_short,problem_index,expected_answer,model_answer,answered,correct,finish_reason,input_tokens,output_tokens
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,1,4.548709019261542,4.59,True,False,FinishReason.STOP,221,1554
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,2,4.887946004031309,4.9,True,False,FinishReason.STOP,218,1293
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,3,10.377836942638526,10.61,True,False,FinishReason.STOP,219,1034
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,4,2.4641644924084076,2.48,True,False,FinishReason.STOP,213,1306
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,5,5.6493565802172885,5.65,True,True,FinishReason.STOP,220,1161
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,6,0.5052635015571901,0.51,True,True,FinishReason.STOP,213,1180
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,7,6.456905931863859,6.78,True,False,FinishReason.STOP,223,1912
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,8,7.071067923326792,7.04,True,False,FinishReason.STOP,223,2037
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,9,6.9893416927981535,6.99,True,True,FinishReason.STOP,221,1706
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,10,3.232229393816509,3.23,True,True,FinishReason.STOP,216,953
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,11,5.4713896158365,5.47,True,True,FinishReason.STOP,221,1056
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,12,5.4993712995503214,5.63,True,False,FinishReason.STOP,224,1168
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,13,3.1275290028521763,3.04,True,False,FinishReason.STOP,211,1379
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,14,3.401415065162398,3.42,True,False,FinishReason.STOP,215,1290
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,15,0.708641913812714,0.71,True,True,FinishReason.STOP,226,1032
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,16,1.2000000183156512,1.2,True,True,FinishReason.STOP,219,781
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,17,0.7142857141609549,0.71,True,True,FinishReason.STOP,224,1131
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,18,3.991747179179267,2.02,True,False,FinishReason.STOP,221,1861
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,19,3.2586307058684336,12.8,True,False,FinishReason.STOP,226,1568
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,20,1.399999992609109,1.4,True,True,FinishReason.STOP,218,850
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,21,5.152371969265797,5.16,True,True,FinishReason.STOP,217,1210
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,22,4.14640395801335,4.04,True,False,FinishReason.STOP,220,986
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,23,12.277684155734296,24.03,True,False,FinishReason.STOP,221,1242
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,24,6.932856366824589,6.93,True,True,FinishReason.STOP,224,1264
gemini-2.5-pro,level-1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,geometric__basic_geometric_programming__gemini-2.5-pro_lv1,25,5.984235914164003,6.06,True,False,FinishReason.STOP,226,1474
gemini-2.5-pro,level-1,linear_programming__non_trivial_linear_programming__gemini-2.5-pro_lv1,linear_programming__non_trivial_linear_programming__gemini-2.5-pro_lv1,1,-10.0,-10,True,True,FinishReason.STOP,206,585
gemini-2.5-pro,level-1,linear_programming__non_trivial_linear_programming__gemini-2.5-pro_lv1,linear_programming__non_trivial_linear_programming__gemini-2.5-pro_lv1,2,-8.0,-8,True,True,FinishReason.STOP,208,441
gemini-2.5-pro,level-1,linear_programming__non_trivial_linear_programming__gemini-2.5-pro_lv1,linear_programming__non_trivial_linear_programming__gemini-2.5-pro_lv1,3,-8.0,-8,True,True,FinishReason.STOP,207,543
gemini-2.5-pro,level-1,linear_programming__non_trivial_linear_programming__gemini-2.5-pro_lv1,linear_programming__non_trivial_linear_programming__gemini-2.5-pro_lv1,4,-6.0,-6.0,True,True,FinishReason.STOP,207,723
gemini-2.5-pro,level-1,linear_programming__non_trivial_linear_programming__gemini-2.5-pro_lv1,linear_programming__non_trivial_linear_programming__gemini-2.5-pro_lv1,5,-18.0,-18,True,True,FinishReason.STOP,207,496
gemini-2.5-pro,level-1,linear_programming__non_trivial_linear_programming__gemini-2.5-pro_lv1,linear_programming__non_trivial_linear_programming__gemini-2.5-pro_lv1,6,-1.0,-1.0,True,True,FinishReason.STOP,208,602
gemini-2.5-pro,level-1,linear_programming__non_trivial_linear_programming__gemini-2.5-pro_lv1,linear_programming__non_trivial_linear_programming__gemini-2.5-pro_lv1,7,-30.0,-30,True,True,FinishReason.STOP,208,396
