model,level,module,module_short,problem_index,expected_answer,model_answer,answered,correct,finish_reason,input_tokens,output_tokens
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,1,4.548709019261542,4.55,True,True,stop,253,12640
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,2,4.887946004031309,4.89,True,True,stop,252,6542
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,3,10.377836942638526,10.38,True,True,stop,253,7508
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,4,2.4641644924084076,2.46,True,True,stop,247,3450
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,5,5.6493565802172885,5.65,True,True,stop,251,5360
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,6,0.5052635015571901,0.51,True,True,stop,248,1877
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,7,6.456905931863859,,False,,length,255,16000
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,8,7.071067923326792,7.07,True,True,stop,255,3833
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,9,6.9893416927981535,6.99,True,True,stop,253,4945
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,10,3.232229393816509,3.23,True,True,stop,250,6017
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,11,5.4713896158365,5.47,True,True,stop,253,7062
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,12,5.4993712995503214,5.5,True,True,stop,255,9197
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,13,3.1275290028521763,3.13,True,True,stop,246,5561
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,14,3.401415065162398,3.4,True,True,stop,249,4451
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,15,0.708641913812714,0.71,True,True,stop,257,3584
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,16,1.2000000183156512,1.33,True,False,stop,251,1407
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,17,0.7142857141609549,0.7142857142857143,True,True,stop,255,2450
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,18,3.991747179179267,3.99,True,True,stop,253,6470
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,19,3.2586307058684336,3.26,True,True,stop,257,11309
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,20,1.399999992609109,1.4,True,True,stop,251,1478
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,21,5.152371969265797,5.15,True,True,stop,251,14427
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,22,4.14640395801335,4.15,True,True,stop,253,4479
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,23,12.277684155734296,12.28,True,True,stop,253,15102
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,24,6.932856366824589,6.93,True,True,stop,255,4190
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,25,5.984235914164003,,False,,length,257,16000
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,1,-10.0,-10.0,True,True,stop,246,950
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,2,-8.0,-8.0,True,True,stop,246,1557
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,3,-8.0,-8.0,True,True,stop,246,3416
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,4,-6.0,-6.0,True,True,stop,246,2380
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,5,-18.0,-18.0,True,True,stop,246,527
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,6,-1.0,-1.0,True,True,stop,246,2994
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,7,-30.0,-30.0,True,True,stop,247,4972
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,8,12.0,12.0,True,True,stop,246,4611
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,9,-42.0,-42.0,True,True,stop,245,6966
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,10,12.0,12.0,True,True,stop,246,550
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,11,-40.0,-40.0,True,True,stop,246,1822
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,12,20.0,20.0,True,True,stop,247,1431
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,13,-27.0,-27.0,True,True,stop,246,1136
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,14,-13.0,-13.0,True,True,stop,246,1640
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,15,56.0,56.0,True,True,stop,247,399
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,16,-9.0,-9.0,True,True,stop,246,3059
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,17,-32.0,-32.0,True,True,stop,247,1327
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,18,-36.0,-36.0,True,True,stop,245,493
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,19,-12.0,-12.0,True,True,stop,245,3032
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,20,4.0,4.0,True,True,stop,246,1448
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,21,8.0,8.0,True,True,stop,246,2779
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,22,8.0,8.0,True,True,stop,245,321
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,23,12.0,12.0,True,True,stop,246,232
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,24,45.0,45.0,True,True,stop,246,3867
deepseek-v4-pro,level-1,linear_programming__non_trivial_linear_programming,LP,25,9.0,9.0,True,True,stop,247,1816
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,1,-2.9457227954162417,-2.945,True,True,stop,279,11891
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,2,-0.5000000000000001,-0.5,True,True,stop,279,1621
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,3,-3.1999999999999997,-3.2,True,True,stop,279,2076
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,4,-1.3448275862068964,-1.34,True,True,stop,279,2388
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,5,-1.5445840040597094,,False,,length,279,16000
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,6,-6.841533365055232,,False,,length,279,16000
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,7,-0.2884615384615385,-0.2885,True,True,stop,279,1397
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,8,-2.4941789126570786,-2.49,True,True,stop,279,11330
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,9,-4.0357142857142865,-4.04,True,True,stop,279,1726
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,10,-3.413793103448276,-3.414,True,True,stop,279,1707
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,11,-1.0,-1.0,True,True,stop,279,943
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,12,-1.1363636363636362,-1.14,True,True,stop,279,2149
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,13,-2.4146033136827745,-2.41,True,True,stop,279,9172
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,14,-0.5357142857142856,-0.5357,True,True,stop,279,1601
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,15,-0.6600000000000001,-0.66,True,True,stop,279,1790
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,16,-2.8461538461538445,-2.846,True,True,stop,279,2197
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,17,-3.499999999999999,-3.5,True,True,stop,279,856
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,18,-1.3636363636363638,1.36,True,False,stop,279,1306
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,19,-1.638410684448729,,False,,length,279,16000
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,20,-5.100653152113239,-5.1,True,True,stop,279,7464
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,21,-1.125,-1.125,True,True,stop,279,939
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,22,-4.583333333333335,-4.5833,True,True,stop,279,960
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,23,-0.75,-0.75,True,True,stop,279,1288
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,24,-0.8653846153846154,-0.865,True,True,stop,279,1240
deepseek-v4-pro,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,25,-0.8181818181818183,-0.818,True,True,stop,279,1641
deepseek-v4-pro,level-1,quadratic_programming__quadratic_programming,QP,1,434.5000007998601,434.5,True,True,stop,287,1632
deepseek-v4-pro,level-1,quadratic_programming__quadratic_programming,QP,2,52.22058823529397,52.22,True,True,stop,288,3476
deepseek-v4-pro,level-1,quadratic_programming__quadratic_programming,QP,3,43.70710061257786,43.71,True,True,stop,288,3522
deepseek-v4-pro,level-1,quadratic_programming__quadratic_programming,QP,4,59.625000077502335,59.625,True,True,stop,288,2729
deepseek-v4-pro,level-1,quadratic_programming__quadratic_programming,QP,5,234.44117647058678,234.44,True,True,stop,288,2642
deepseek-v4-pro,level-1,quadratic_programming__quadratic_programming,QP,6,139.75619837748158,139.76,True,True,stop,288,2407
deepseek-v4-pro,level-1,quadratic_programming__quadratic_programming,QP,7,-8.500000000000002,-8.5,True,True,stop,288,649
deepseek-v4-pro,level-1,quadratic_programming__quadratic_programming,QP,8,1.1800000006661828,1.18,True,True,stop,288,1672
deepseek-v4-pro,level-1,quadratic_programming__quadratic_programming,QP,9,13.313207548937555,13.31,True,True,stop,285,7972
deepseek-v4-pro,level-1,quadratic_programming__quadratic_programming,QP,10,80.1666666805012,80.17,True,True,stop,288,899
deepseek-v4-pro,level-1,quadratic_programming__quadratic_programming,QP,11,248.7812521572996,248.78,True,True,stop,290,1945
deepseek-v4-pro,level-1,quadratic_programming__quadratic_programming,QP,12,180.43425710188973,180.43,True,True,stop,288,3351
deepseek-v4-pro,level-1,quadratic_programming__quadratic_programming,QP,13,35.00000012569968,35.0,True,True,stop,286,1375
