model,level,source_file,example_index,problem_type,primary_error_type,secondary_error_types,correct,finish_reason,input_tokens,output_tokens,reasoning_formulation_score,reasoning_approach_score,reasoning_constraint_score,reasoning_hallucination,reasoning_failure_point,arithmetic_error_found,arithmetic_first_error_step,arithmetic_computed_value,arithmetic_correct_value,arithmetic_error_magnitude,arithmetic_cascaded,arithmetic_additional_independent_errors,final_correct_value_in_reasoning,final_correct_value_found,final_distance_from_expected,final_model_recognized_it,final_reason_not_recognized,final_context
Qwen3-235b,level-1,eval_results_qwen3-235b/level-1/geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507.json,0,geometric,partial_reasoning_failure,,False,stop,247,6340,2,1,2,False,"The model does not fully justify that the minimizer must always be at the maximum x1 and x2, nor does it carefully analyze or exclude possible cases where multiple constraints are active. This partial/incomplete global optimality reasoning limits approach_score to 1.",False,,,,,,0,False,,,,,
Qwen3-235b,level-1,eval_results_qwen3-235b/level-1/geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507.json,1,geometric,partial_reasoning_failure,,False,stop,253,6783,2,1,2,False,"The model fails to justify that the global minimum cannot be at another feasible (interior or symmetric) point, limiting its search to boundary cases without proof.",False,,,,,,0,False,,,,,
Qwen3-235b,level-1,eval_results_qwen3-235b/level-1/geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507.json,2,geometric,partial_reasoning_failure,,False,stop,246,4874,2,1,2,False,"Incomplete justification of global optimality—the model ruled out product constraint binding, but did not compute the possible joint boundary minimum; approach incomplete, not hallucinated.",False,,,,,,0,False,,,,,
Qwen3-235b,level-1,eval_results_qwen3-235b/level-1/geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507.json,3,geometric,partial_reasoning_failure,,False,stop,245,6003,2,1,2,False,"The model assumes the minimum is achieved when both main constraints are active and does not provide a full global minimum argument beyond boundary analysis, missing the true optimal point.",False,,,,,,0,False,,,,,
Qwen3-235b,level-1,eval_results_qwen3-235b/level-1/geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507.json,4,geometric,no_correct_value_found,,False,stop,251,6806,2,2,2,False,"Arithmetic error: incorrectly rounded 0.253 to 0.25, but this does not constitute hallucination.",False,,,,,,0,False,,,,,
Qwen3-235b,level-1,eval_results_qwen3-235b/level-1/quadratic_constrained_quadratic_programming__basic_qcqp__qwen3-235b-a22b-thinking-2507.json,0,qcqp,hallucination,dismissed_correct_answer|arithmetic_failure,False,stop,273,3553,2,2,2,True,"Unsupported final answer: model gave -1.5, contradicting its own calculations of -0.5.",True,"Objective value calculation at x = [1/3, 0]",-1.5,-0.5,large (> 20%),False,0,True,-0.5,0.0,False,dismissed,"The model computed -0.5 as the objective minimum several times, but output -1.5 as the final answer."
Qwen3-235b,level-1,eval_results_qwen3-235b/level-1/quadratic_constrained_quadratic_programming__basic_qcqp__qwen3-235b-a22b-thinking-2507.json,1,qcqp,continued_refinement,,,,274,18055,2,2,2,False,"No significant failures; some minor arithmetic imprecision due to hand calculation, but reasoning method is thorough and supports all claims.",False,,,,,,0,True,-6.84,0.00,False,continued_refinement,"Model stated -6.84 at x1≈1.97, x2≈-1.33, but kept iterating and did not commit to it as final answer."
Qwen3-235b,level-1,eval_results_qwen3-235b/level-1/quadratic_constrained_quadratic_programming__basic_qcqp__qwen3-235b-a22b-thinking-2507.json,2,qcqp,hallucination,dismissed_correct_answer|arithmetic_failure,False,stop,276,4184,2,2,2,True,"Final answer is unsupported, contradicting the correct calculation previously shown (unsupported number hallucination).",True,Final answer: Model claims the minimum objective value is -195.00000000000003 but the correct computed value is -0.28846.,-195.00000000000003,-0.28846153846153844,large (> 20%),False,0,True,-0.28846,0.00,False,dismissed,"QCQP, detailed multi-step algebra, correct value and objective calculation present and confirmed. Explanation upholds -0.28846, but final answer in JSON is -195. No evidence of continued refinement or token cut-off."
Qwen3-235b,level-1,eval_results_qwen3-235b/level-1/quadratic_constrained_quadratic_programming__basic_qcqp__qwen3-235b-a22b-thinking-2507.json,3,qcqp,partial_constraint_handling_failure,partial_reasoning_failure,,,273,21976,2,1,1,False,Did not fully solve the KKT system or produce the optimal point's coordinates and minimum value; global optimality not fully established; solution is incomplete after correct approach setup.,False,,,,,,0,False,,,,,
Qwen3-235b,level-1,eval_results_qwen3-235b/level-1/quadratic_constrained_quadratic_programming__basic_qcqp__qwen3-235b-a22b-thinking-2507.json,4,qcqp,hallucination,dismissed_correct_answer|arithmetic_failure,False,stop,273,4001,2,2,2,True,Final answer: unsupported jump to -15.0 contradicts its own logical work and previous calculations.,True,Final answer calculation: Model reports -15.0 instead of computed -0.5357142857,-15.0,-0.5357142857142857,large (> 20%),False,0,True,-0.5357142857,0.0,False,dismissed,"Multiple mentions of -0.5357 as correct, but final JSON is {""answer"": -15.0}."
