model,level,module,module_short,problem_index,expected_answer,model_answer,answered,correct,finish_reason,input_tokens,output_tokens
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,1,4.548709019261542,4.55,True,True,stop,251,591
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,2,4.887946004031309,4.9,True,False,stop,250,375
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,3,10.377836942638526,4.98,True,False,stop,251,491
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,4,2.4641644924084076,2.6975,True,False,stop,245,393
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,5,5.6493565802172885,42.54,True,False,stop,249,582
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,6,0.5052635015571901,0.5052632,True,True,stop,246,287
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,7,6.456905931863859,16.79,True,False,stop,253,533
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,8,7.071067923326792,8.59,True,False,stop,253,453
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,9,6.9893416927981535,6.99,True,True,stop,251,607
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,10,3.232229393816509,3.24,True,True,stop,248,419
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,11,5.4713896158365,10.09,True,False,stop,251,469
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,12,5.4993712995503214,5.5,True,True,stop,253,498
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,13,3.1275290028521763,3.13,True,True,stop,244,530
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,14,3.401415065162398,3.4,True,True,stop,247,533
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,15,0.708641913812714,0.7086,True,True,stop,255,866
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,16,1.2000000183156512,1.33,True,False,stop,249,404
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,17,0.7142857141609549,0.71,True,True,stop,253,505
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,18,3.991747179179267,3.99,True,True,stop,251,333
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,19,3.2586307058684336,3.56,True,False,stop,255,267
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,20,1.399999992609109,1.4,True,True,stop,249,376
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,21,5.152371969265797,5.3,True,False,stop,249,501
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,22,4.14640395801335,4.14,True,True,stop,251,488
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,23,12.277684155734296,12.27,True,True,stop,251,530
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,24,6.932856366824589,6.94,True,True,stop,253,344
gpt-5.4-mini,level-1,geometric__basic_geometric_programming,GP,25,5.984235914164003,5.98,True,True,stop,255,871
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,1,-10.0,-10,True,True,stop,246,151
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,2,-8.0,-8,True,True,stop,246,246
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,3,-8.0,-8,True,True,stop,245,270
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,4,-6.0,-6,True,True,stop,245,249
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,5,-18.0,-18,True,True,stop,248,184
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,6,-1.0,-1,True,True,stop,246,369
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,7,-30.0,-30,True,True,stop,246,232
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,8,12.0,10.91,True,False,stop,244,316
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,9,-42.0,-42,True,True,stop,243,434
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,10,12.0,12,True,True,stop,246,268
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,11,-40.0,-40,True,True,stop,246,230
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,12,20.0,20,True,True,stop,247,206
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,13,-27.0,-27,True,True,stop,244,178
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,14,-13.0,-13,True,True,stop,246,182
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,15,56.0,56,True,True,stop,247,146
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,16,-9.0,-9,True,True,stop,246,401
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,17,-32.0,-32,True,True,stop,247,173
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,18,-36.0,-36,True,True,stop,246,120
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,19,-12.0,-12,True,True,stop,244,283
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,20,4.0,4,True,True,stop,246,225
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,21,8.0,8,True,True,stop,247,215
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,22,8.0,8,True,True,stop,244,169
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,23,12.0,12,True,True,stop,247,132
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,24,45.0,45,True,True,stop,245,293
gpt-5.4-mini,level-1,linear_programming__non_trivial_linear_programming,LP,25,9.0,9,True,True,stop,247,286
gpt-5.4-mini,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,1,-2.9457227954162417,-5.0909,True,False,stop,277,161
gpt-5.4-mini,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,2,-0.5000000000000001,-1.5833333333,True,False,stop,277,180
gpt-5.4-mini,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,3,-3.1999999999999997,-5.33,True,False,stop,277,261
gpt-5.4-mini,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,4,-1.3448275862068964,-1.0,True,False,stop,277,237
gpt-5.4-mini,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,5,-1.5445840040597094,-4.63,True,False,stop,277,181
gpt-5.4-mini,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,6,-6.841533365055232,1.5,True,False,stop,277,246
