model,level,module,module_short,problem_index,expected_answer,model_answer,answered,correct,finish_reason,input_tokens,output_tokens
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,1,4.548709019261542,4.57,True,False,FinishReason.STOP,221,1096
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,2,4.887946004031309,4.89,True,True,FinishReason.STOP,218,809
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,3,10.377836942638526,10.37,True,True,FinishReason.STOP,219,1004
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,4,2.4641644924084076,2.47,True,True,FinishReason.STOP,213,781
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,5,5.6493565802172885,5.66,True,False,FinishReason.STOP,220,1312
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,6,0.5052635015571901,0.51,True,True,FinishReason.STOP,213,1085
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,7,6.456905931863859,6.6,True,False,FinishReason.STOP,223,1042
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,8,7.071067923326792,7.07,True,True,FinishReason.STOP,223,1082
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,9,6.9893416927981535,6.99,True,True,FinishReason.STOP,221,1120
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,10,3.232229393816509,3.23,True,True,FinishReason.STOP,216,792
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,11,5.4713896158365,5.46,True,False,FinishReason.STOP,221,1164
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,12,5.4993712995503214,5.5,True,True,FinishReason.STOP,224,911
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,13,3.1275290028521763,3.13,True,True,FinishReason.STOP,211,1344
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,14,3.401415065162398,3.39,True,False,FinishReason.STOP,215,692
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,15,0.708641913812714,0.709,True,True,FinishReason.STOP,226,917
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,16,1.2000000183156512,1.2,True,True,FinishReason.STOP,219,752
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,17,0.7142857141609549,0.71,True,True,FinishReason.STOP,224,1162
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,18,3.991747179179267,3.99,True,True,FinishReason.STOP,221,1016
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,19,3.2586307058684336,3.26,True,True,FinishReason.STOP,226,1370
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,20,1.399999992609109,1.4,True,True,FinishReason.STOP,218,823
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,21,5.152371969265797,5.15,True,True,FinishReason.STOP,217,1232
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,22,4.14640395801335,4.15,True,True,FinishReason.STOP,220,936
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,23,12.277684155734296,12.27,True,True,FinishReason.STOP,221,1283
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,24,6.932856366824589,6.9,True,False,FinishReason.STOP,224,809
gemini-2.5-pro,level-1,geometric__basic_geometric_programming,GP,25,5.984235914164003,5.98,True,True,FinishReason.STOP,226,1110
gemini-2.5-pro,level-1,linear_programming__non_trivial_linear_programming,LP,1,-10.0,-10,True,True,FinishReason.STOP,206,258
gemini-2.5-pro,level-1,linear_programming__non_trivial_linear_programming,LP,2,-8.0,-8.0,True,True,FinishReason.STOP,208,355
gemini-2.5-pro,level-1,linear_programming__non_trivial_linear_programming,LP,3,-8.0,-8.0,True,True,FinishReason.STOP,207,443
