model,level,source_file,example_index,problem_type,primary_error_type,secondary_error_types,correct,finish_reason,input_tokens,output_tokens,reasoning_formulation_score,reasoning_approach_score,reasoning_constraint_score,reasoning_hallucination,reasoning_failure_point,arithmetic_error_found,arithmetic_first_error_step,arithmetic_computed_value,arithmetic_correct_value,arithmetic_error_magnitude,arithmetic_cascaded,arithmetic_additional_independent_errors,final_correct_value_in_reasoning,final_correct_value_found,final_distance_from_expected,final_model_recognized_it,final_reason_not_recognized,final_context
Qwen Plus,level-1,eval_results_qwen_plus/level-1/geometric__basic_geometric_programming__qwen-plus.json,0,geometric,no_correct_value_found,,False,stop,260,968,2,2,2,False,arithmetic mistake (final objective value at feasible candidate is computed incorrectly; reasoning and justification are otherwise valid),False,,,,,,0,False,,,,,
Qwen Plus,level-1,eval_results_qwen_plus/level-1/geometric__basic_geometric_programming__qwen-plus.json,1,geometric,partial_reasoning_failure,,False,stop,261,2767,2,1,2,False,Did not fully prove global optimality; relied on discretized point sampling near boundaries instead of a complete continuous minimization argument.,False,,,,,,0,False,,,,,
Qwen Plus,level-1,eval_results_qwen_plus/level-1/geometric__basic_geometric_programming__qwen-plus.json,2,geometric,no_correct_value_found,,False,stop,258,1200,2,2,2,False,"Arithmetic approximation in final answer, not a reasoning or feasibility issue.",False,,,,,,0,False,,,,,
Qwen Plus,level-1,eval_results_qwen_plus/level-1/geometric__basic_geometric_programming__qwen-plus.json,3,geometric,arithmetic_failure,no_correct_value_found,False,stop,257,948,2,2,2,False,No significant failure; arithmetic not exact but reasoning is complete.,True,"Not maximizing x1 to its upper bound (x1=5) for x2=0.5, leading to an incorrect minimum objective evaluation.",1.61,1.4,medium (5-20%),False,0,False,,,,,
Qwen Plus,level-1,eval_results_qwen_plus/level-1/quadratic_constrained_quadratic_programming__basic_qcqp__qwen-plus.json,0,qcqp,partial_reasoning_failure,,False,stop,286,7980,2,1,2,False,"approach: Final reported value comes from a sampled feasible point, not a rigorous argument of optimality; does not solve the full active-set equations or prove the minimum is globally attained at that point.",False,,,,,,0,False,,,,,
Qwen Plus,level-1,eval_results_qwen_plus/level-1/quadratic_constrained_quadratic_programming__basic_qcqp__qwen-plus.json,1,qcqp,hallucination,partial_reasoning_failure|partial_constraint_handling_failure,False,stop,283,7485,2,1,1,True,Committed to the unconstrained minimizer's value as final answer after checking and acknowledging constraint violation at that point.,False,,,,,,0,False,,,,,
Qwen Plus,level-1,eval_results_qwen_plus/level-1/quadratic_constrained_quadratic_programming__basic_qcqp__qwen-plus.json,2,qcqp,partial_reasoning_failure,,False,stop,285,3291,2,1,2,False,Global optimality is not proven; only feasible point testing is performed.,False,,,,,,0,False,,,,,
Qwen Plus,level-1,eval_results_qwen_plus/level-1/quadratic_constrained_quadratic_programming__basic_qcqp__qwen-plus.json,3,qcqp,partial_reasoning_failure,,False,stop,287,3915,2,1,2,False,Did not establish global optimality; relied on point sampling instead of solving the constraint-active subproblem or fully exploiting KKT.,False,,,,,,0,False,,,,,
Qwen Plus,level-1,eval_results_qwen_plus/level-1/quadratic_constrained_quadratic_programming__basic_qcqp__qwen-plus.json,4,qcqp,partial_reasoning_failure,arithmetic_failure,False,stop,284,3793,2,1,2,False,"No proof of global optimality; solution relies on sampling/descent, not active-set/KKT or a convexity-based optimality argument.",True,"Evaluation of x^T Q_0 x at x = [0.528, 0.3545]",2.394,3.011,medium (5-20%),True,0,False,,,,,
Qwen Plus,level-1,eval_results_qwen_plus/level-1/quadratic_constrained_quadratic_programming__basic_qcqp__qwen-plus.json,5,qcqp,partial_reasoning_failure,,False,stop,286,3084,2,1,2,False,Relied on point sampling and local search without proving global optimality or using an exact KKT or active-set argument.,False,,,,,,0,False,,,,,
Qwen Plus,level-1,eval_results_qwen_plus/level-1/quadratic_constrained_quadratic_programming__basic_qcqp__qwen-plus.json,6,qcqp,no_correct_value_found,,False,stop,287,1722,2,2,2,False,"Minor numerical difference due to rounding; otherwise, reasoning is complete.",False,,,,,,0,False,,,,,
Qwen Plus,level-1,eval_results_qwen_plus/level-1/quadratic_programming__quadratic_programming__qwen-plus.json,0,quadratic_programming,partial_reasoning_failure,,False,stop,295,1335,2,1,2,False,Approach does not fully prove no lower value is possible along any edge or on the unbounded region; a more thorough boundary analysis or explicit global optimality argument is needed for approach_score=2.,False,,,,,,0,False,,,,,
Qwen Plus,level-2,eval_results_qwen_plus/level-2/geometric__basic_geometric_programming__qwen-plus.json,0,geometric,dismissed_correct_answer,,False,stop,270,2852,2,2,2,False,"Model gives a first-pass answer rather than the arithmetic minimizer, but all steps are justified with correct analysis.",False,,,,,,0,True,13.158,0.00,False,dismissed,
Qwen Plus,level-2,eval_results_qwen_plus/level-2/geometric__basic_geometric_programming__qwen-plus.json,1,geometric,dismissed_correct_answer,,False,stop,277,2832,2,2,2,False,"Model reported a non-optimal feasible point as the final answer, despite computing a lower feasible objective elsewhere. This is a reasoning failure, not hallucination.",False,,,,,,0,True,10.188,0.00,False,dismissed,
Qwen Plus,level-2,eval_results_qwen_plus/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__qwen-plus.json,0,qcqp,partial_reasoning_failure,,False,stop,324,1590,2,1,2,False,"Did not prove global optimality, only performed pointwise search.",False,,,,,,0,False,,,,,
Qwen Plus,level-2,eval_results_qwen_plus/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__qwen-plus.json,1,qcqp,partial_constraint_handling_failure,partial_reasoning_failure,False,stop,327,3767,2,1,1,False,"Heuristic point search is not a proof of global optimality; no KKT, active-set, or boundary analysis was performed.",False,,,,,,0,False,,,,,
Qwen Plus,level-2,eval_results_qwen_plus/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__qwen-plus.json,2,qcqp,partial_constraint_handling_failure,partial_reasoning_failure,False,stop,323,2379,2,1,1,False,Stopped at first feasible sampled point without global optimality argument,False,,,,,,0,False,,,,,
Qwen Plus,level-2,eval_results_qwen_plus/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__qwen-plus.json,3,qcqp,partial_constraint_handling_failure,partial_reasoning_failure|arithmetic_failure,False,stop,323,4475,2,1,1,False,Did not fully solve the KKT system for all active sets or provide an argument that the candidate point gives the global optimum; only provides a locally feasible candidate after some heuristic adjustment.,True,"Computation of the objective value at x ≈ [0.3367, 0.4230]",-0.0084,-0.2857,large (> 20%),True,0,False,,,,,
Qwen Plus,level-2,eval_results_qwen_plus/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__qwen-plus.json,4,qcqp,partial_reasoning_failure,,False,stop,323,3095,2,1,2,False,"Did not solve the constrained minimization (e.g., via KKT or boundary analysis) after finding the unconstrained minimizer was infeasible; instead, only sampled points, so did not prove global optimality.",False,,,,,,0,False,,,,,
Qwen Plus,level-2,eval_results_qwen_plus/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__qwen-plus.json,5,qcqp,partial_reasoning_failure,,False,stop,322,8234,2,1,2,False,"No global optimality proof: the model uses point-wise search and picks the best feasible value found, but does not prove it's the minimum.",False,,,,,,0,False,,,,,
Qwen Plus,level-2,eval_results_qwen_plus/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__qwen-plus.json,6,qcqp,hallucination,partial_reasoning_failure|partial_constraint_handling_failure,False,stop,327,4151,2,1,1,True,The model uses the objective at the infeasible unconstrained minimizer as the final answer after establishing its infeasibility.,False,,,,,,0,False,,,,,
