model,level,module,module_short,problem_index,expected_answer,model_answer,answered,correct,finish_reason,input_tokens,output_tokens
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,1,4.548709019261542,4.55,True,True,stop,251,1312
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,2,4.887946004031309,4.89,True,True,stop,250,1220
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,3,10.377836942638526,10.38,True,True,stop,251,977
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,4,2.4641644924084076,2.46417,True,True,stop,245,693
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,5,5.6493565802172885,5.654,True,True,stop,249,688
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,6,0.5052635015571901,0.5052631579,True,True,stop,246,530
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,7,6.456905931863859,6.46,True,True,stop,253,1692
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,8,7.071067923326792,7.0710678119,True,True,stop,253,996
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,9,6.9893416927981535,6.9893,True,True,stop,251,700
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,10,3.232229393816509,3.23,True,True,stop,248,1594
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,11,5.4713896158365,5.47,True,True,stop,251,695
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,12,5.4993712995503214,5.5,True,True,stop,253,1220
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,13,3.1275290028521763,3.13,True,True,stop,244,617
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,14,3.401415065162398,3.4,True,True,stop,247,686
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,15,0.708641913812714,0.7086419753,True,True,stop,255,1258
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,16,1.2000000183156512,1.2,True,True,stop,249,420
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,17,0.7142857141609549,0.7142857143,True,True,stop,253,729
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,18,3.991747179179267,3.99,True,True,stop,251,657
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,19,3.2586307058684336,3.26,True,True,stop,255,1106
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,20,1.399999992609109,1.4,True,True,stop,249,438
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,21,5.152371969265797,5.15,True,True,stop,249,1690
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,22,4.14640395801335,4.1464,True,True,stop,251,1110
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,23,12.277684155734296,12.28,True,True,stop,251,1515
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,24,6.932856366824589,6.93,True,True,stop,253,809
gpt-5.5,level-1,geometric__basic_geometric_programming,GP,25,5.984235914164003,5.98,True,True,stop,255,2812
gpt-5.5,level-1,linear_programming__non_trivial_linear_programming,LP,1,-10.0,-10,True,True,stop,246,381
gpt-5.5,level-1,linear_programming__non_trivial_linear_programming,LP,2,-8.0,-8,True,True,stop,246,499
gpt-5.5,level-1,linear_programming__non_trivial_linear_programming,LP,3,-8.0,-8,True,True,stop,245,425
gpt-5.5,level-1,linear_programming__non_trivial_linear_programming,LP,4,-6.0,-6,True,True,stop,245,558
