model,level,module,module_short,problem_index,expected_answer,model_answer,answered,correct,finish_reason,input_tokens,output_tokens
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,1,4.548709019261542,4.55,True,True,stop,264,7563
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,2,4.887946004031309,4.89,True,True,stop,263,12263
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,3,10.377836942638526,10.38,True,True,stop,264,7348
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,4,2.4641644924084076,2.46,True,True,stop,258,3783
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,5,5.6493565802172885,5.65,True,True,stop,262,7991
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,6,0.5052635015571901,0.51,True,True,stop,259,2250
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,7,6.456905931863859,,False,,length,266,16000
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,8,7.071067923326792,7.07,True,True,stop,266,8003
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,9,6.9893416927981535,6.99,True,True,stop,264,7955
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,10,3.232229393816509,3.23,True,True,stop,261,10743
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,11,5.4713896158365,5.47,True,True,stop,264,10183
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,12,5.4993712995503214,5.5,True,True,stop,266,14308
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,13,3.1275290028521763,3.1275,True,True,stop,257,4476
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,14,3.401415065162398,3.4,True,True,stop,260,3915
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,15,0.708641913812714,0.7086,True,True,stop,268,3609
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,16,1.2000000183156512,1.33,True,False,stop,262,3898
deepseek-v4-pro,level-1,geometric__basic_geometric_programming,GP,17,0.7142857141609549,0.714,True,True,stop,266,3529
