model,level,module,module_short,problem_index,expected_answer,model_answer,answered,correct,finish_reason,input_tokens,output_tokens
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,1,4.548709019261542,4.55,True,True,end_turn,432,4882
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,2,4.887946004031309,4.889,True,True,end_turn,430,5372
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,3,10.377836942638526,10.378,True,True,end_turn,432,5816
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,4,2.4641644924084076,2.4642,True,True,end_turn,425,1756
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,5,5.6493565802172885,5.65,True,True,end_turn,431,4150
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,6,0.5052635015571901,0.50526,True,True,end_turn,425,1311
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,7,6.456905931863859,6.46,True,True,end_turn,435,10787
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,8,7.071067923326792,7.0711,True,True,end_turn,435,8380
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,9,6.9893416927981535,6.989,True,True,end_turn,433,4479
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,10,3.232229393816509,3.232,True,True,end_turn,428,7240
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,11,5.4713896158365,5.47,True,True,end_turn,433,2700
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,12,5.4993712995503214,5.5,True,True,end_turn,435,4439
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,13,3.1275290028521763,3.1275,True,True,end_turn,423,4162
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,14,3.401415065162398,3.4014,True,True,end_turn,427,2071
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,15,0.708641913812714,0.7086,True,True,end_turn,437,2861
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,16,1.2000000183156512,1.2,True,True,end_turn,430,1479
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,17,0.7142857141609549,0.7143,True,True,end_turn,436,1283
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,18,3.991747179179267,3.991,True,True,end_turn,433,1197
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,19,3.2586307058684336,3.26,True,True,end_turn,437,5802
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,20,1.399999992609109,1.4,True,True,end_turn,430,945
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,21,5.152371969265797,5.152,True,True,end_turn,430,11506
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,22,4.14640395801335,4.145,True,True,end_turn,432,2178
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,23,12.277684155734296,12.28,True,True,end_turn,433,8917
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,24,6.932856366824589,6.933,True,True,end_turn,435,1959
claude-sonnet-4-6,level-1,geometric__basic_geometric_programming,GP,25,5.984235914164003,5.982,True,True,end_turn,437,9920
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,1,-10.0,-10,True,True,end_turn,414,1033
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,2,-8.0,-8,True,True,end_turn,414,2669
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,3,-8.0,-8,True,True,end_turn,414,2299
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,4,-6.0,-6,True,True,end_turn,413,2232
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,5,-18.0,-18,True,True,end_turn,413,875
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,6,-1.0,-1,True,True,end_turn,414,3066
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,7,-30.0,-30,True,True,end_turn,415,3061
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,8,12.0,12,True,True,end_turn,414,2129
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,9,-42.0,-42,True,True,end_turn,412,2023
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,10,12.0,12,True,True,end_turn,413,701
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,11,-40.0,-40,True,True,end_turn,413,2237
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,12,20.0,20,True,True,end_turn,415,3093
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,13,-27.0,-27,True,True,end_turn,413,622
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,14,-13.0,-13,True,True,end_turn,414,3825
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,15,56.0,56,True,True,end_turn,415,346
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,16,-9.0,-9,True,True,end_turn,413,4175
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,17,-32.0,-32,True,True,end_turn,415,770
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,18,-36.0,-36,True,True,end_turn,413,621
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,19,-12.0,-12,True,True,end_turn,413,3212
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,20,4.0,4,True,True,end_turn,413,1089
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,21,8.0,8,True,True,end_turn,413,2755
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,22,8.0,8,True,True,end_turn,413,523
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,23,12.0,12,True,True,end_turn,413,313
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,24,45.0,45,True,True,end_turn,413,1287
claude-sonnet-4-6,level-1,linear_programming__non_trivial_linear_programming,LP,25,9.0,9,True,True,end_turn,414,2039
claude-sonnet-4-6,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,1,-2.9457227954162417,-2.947,True,True,end_turn,456,9478
claude-sonnet-4-6,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,2,-0.5000000000000001,-0.5,True,True,end_turn,456,1470
claude-sonnet-4-6,level-1,quadratic_constrained_quadratic_programming__basic_qcqp,QCQP,3,-3.1999999999999997,-3.2,True,True,end_turn,456,1392
