model,level,source_file,example_index,problem_type,primary_error_type,secondary_error_types,correct,finish_reason,input_tokens,output_tokens,reasoning_formulation_score,reasoning_approach_score,reasoning_constraint_score,reasoning_hallucination,reasoning_failure_point,arithmetic_error_found,arithmetic_first_error_step,arithmetic_computed_value,arithmetic_correct_value,arithmetic_error_magnitude,arithmetic_cascaded,arithmetic_additional_independent_errors,final_correct_value_in_reasoning,final_correct_value_found,final_distance_from_expected,final_model_recognized_it,final_reason_not_recognized,final_context
Claude,level-2,eval_results/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,0,qcqp,partial_constraint_handling_failure,partial_reasoning_failure|continued_refinement,,max_tokens,498,16000,2,1,1,False,Did not prove global optimality; only tested points and found empirically feasible/best candidates without a full solution to the KKT or active-set system.,False,,,,,,0,True,-1.113,0.004,False,continued_refinement,Model iteratively tested values near -1.11 and kept refining without committing.
Claude,level-2,eval_results/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,1,qcqp,partial_constraint_handling_failure,partial_reasoning_failure,,max_tokens,498,15999,2,1,1,False,Abandoned full KKT or active-set analysis for heuristics and point testing without global optimality proof.,False,,,,,,0,False,,,,,
Claude,level-2,eval_results/level-2/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,2,qcqp,partial_constraint_handling_failure,partial_reasoning_failure,,max_tokens,498,16000,2,1,1,False,The method switches from analytic solving to numerical candidate testing without establishing global optimality; candidate points are feasible but do not guarantee the true minimum is found.,False,,,,,,0,False,,,,,
Claude,level-3,eval_results/level-3/geometric__basic_geometric_programming__claude-sonnet-4-6.json,0,geometric,arithmetic_failure,no_correct_value_found,False,end_turn,480,12882,2,2,2,False,"The only minor limitation is not analytically proving convexity of the original function, but the provided step-by-step reasoning is sufficiently detailed and sound for this class of problem.",True,"Final objective value computation at claimed minimizer x1=1.596, x2=2.036, x3=0.963",21.7,21.48,small (< 5%),True,0,False,,,,,
Claude,level-3,eval_results/level-3/geometric__basic_geometric_programming__claude-sonnet-4-6.json,1,geometric,no_correct_value_found,,False,end_turn,481,10617,2,2,2,False,minor arithmetic (value rounding); reasoning and logic are otherwise sound and complete.,False,,,,,,0,False,,,,,
Claude,level-3,eval_results/level-3/geometric__basic_geometric_programming__claude-sonnet-4-6.json,2,geometric,partial_reasoning_failure,arithmetic_failure,False,end_turn,491,15506,2,1,2,False,Did not prove that optimizer must occur with x1·x3 at lower bound (constraint 3 binding); only searched this subspace.,True,"Constraint 1 calculation at claimed x1=1.776, x2=1.149, x3=1.76",69.39,68.88,small (< 5%),True,0,False,,,,,
Claude,level-3,eval_results/level-3/geometric__basic_geometric_programming__claude-sonnet-4-6.json,3,geometric,dismissed_correct_answer,,False,end_turn,494,12565,2,2,2,False,The only issue is a slight numerical error in the final value; all reasoning steps and constraint logic are fully sound.,False,,,,,,0,True,7.626,0.00,False,dismissed,"Model solves, finds candidate values, repeatedly gets values like 7.626, 7.636, 7.64, then answers 7.65."
Claude,level-3,eval_results/level-3/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,0,qcqp,partial_reasoning_failure,arithmetic_failure,False,end_turn,556,12890,2,1,2,False,"The model did not fully solve for the exact optimal Lagrange multiplier and relied on heuristic interpolation, so global optimality is not strictly proved.",True,Computation of unconstrained minimum x* = -Q_0^{-1} c_0 (sign error),"[1.70526316, -2.25263158, 0.76842105]","[-1.98947368, 2.29473684, -1.06315789]",large (> 20%),True,0,False,,,,,
Claude,level-3,eval_results/level-3/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,1,qcqp,partial_constraint_handling_failure,partial_reasoning_failure|arithmetic_failure,False,end_turn,556,14678,2,1,1,False,"The model used candidate point-testing and interpolation to approach the boundary of an active constraint, rather than deriving the active-set solution or solving KKT equations fully, and thus failed to prove global optimality.",True,"Computation of x^T Q_1 x + c_1^T x at x* ≈ [1.667, 0.947, 2.351]",53.67,35.51,large (> 20%),True,0,False,,,,,
Claude,level-3,eval_results/level-3/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,2,qcqp,continued_refinement,arithmetic_failure,False,end_turn,556,15219,2,2,2,False,"final answer is numerically inexact due to interpolation, but reasoning and method are correct",True,Solving the linear system (Q0 + 2λ2 Q2)x = -(c0 + λ2 c2) for λ2 = 0.1.,"x ≈ [-0.1597, 0.3842, -0.09237] (as claimed by the model)","x ≈ [-0.1132, 0.3625, -0.1309] (from direct computation)",medium (5-20%),True,0,True,-0.675,0.00,False,continued_refinement,"Model solves QCQP, finds -0.675, but continues interpolating between lambda values and eventually reports -0.57 as final answer rather than stopping at -0.675."
Claude,level-3,eval_results/level-3/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,3,qcqp,no_correct_value_found,,False,end_turn,556,14448,2,2,2,False,"The answer is slightly off from the expected value due to approximate interpolation in µ₂, not a reasoning or constraint handling error.",False,,,,,,0,False,,,,,
Claude,level-3,eval_results/level-3/quadratic_constrained_quadratic_programming__basic_qcqp__claude-sonnet-4-6.json,4,qcqp,partial_constraint_handling_failure,partial_reasoning_failure,,max_tokens,556,16000,2,1,1,False,Stopped at line search/point testing without a global optimality proof or full KKT analysis.,False,,,,,,0,False,,,,,
