model,level,module,module_short,problem_index,expected_answer,model_answer,answered,correct,finish_reason,input_tokens,output_tokens
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,1,4.548709019261542,4.55,True,True,stop,249,6290
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,2,4.887946004031309,4.89,True,True,stop,247,9711
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,3,10.377836942638526,10.38,True,True,stop,247,8008
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,4,2.4641644924084076,2.46,True,True,stop,242,4027
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,5,5.6493565802172885,5.65,True,True,stop,247,5237
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,6,0.5052635015571901,0.51,True,True,stop,243,5351
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,7,6.456905931863859,6.46,True,True,stop,250,9292
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,8,7.071067923326792,7.07,True,True,stop,250,6923
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,9,6.9893416927981535,6.99,True,True,stop,248,5854
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,10,3.232229393816509,3.23,True,True,stop,245,8254
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,11,5.4713896158365,5.47,True,True,stop,248,5150
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,12,5.4993712995503214,5.5,True,True,stop,251,6972
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,13,3.1275290028521763,3.13,True,True,stop,241,6139
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,14,3.401415065162398,3.4,True,True,stop,244,5883
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,15,0.708641913812714,0.71,True,True,stop,253,5344
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,16,1.2000000183156512,1.33,True,False,stop,247,6340
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,17,0.7142857141609549,0.71,True,True,stop,250,6313
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,18,3.991747179179267,3.99,True,True,stop,248,5412
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,19,3.2586307058684336,1.01,True,False,stop,253,6783
qwen3-235b-a22b-thinking-2507,level-1,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,geometric__basic_geometric_programming__qwen3-235b-a22b-thinking-2507,20,1.399999992609109,1.59,True,False,stop,246,4874
